gvkey,month_year,asset_return_monthly,asset_value,asset_volatility_monthly,asset_volatility,msgarch_prob_0,msgarch_vol_0,msgarch_vol_1,msgarch_cond_vol
14140,2010-08,-0.005416848498351114,1196418301192.7383,0.009046516640429181,0.0313380529054813,0.9941906027381335,0.02027618004310244,1.8798130966148794,0.14469756870730696
14140,2010-09,0.0005468165473081225,1197072701419.4631,0.008662557530090875,0.030007979531211516,0.9983559035746093,0.020258734412019724,1.8673795597684661,0.07837653192408686
14140,2010-10,-0.0011865266649519085,1195653185052.8914,0.008312970205784507,0.028796973516450143,0.9983649034487809,0.020175412580945733,1.8565866770887567,0.07773299847156602
14140,2010-11,-0.013502474549248876,1179617413283.915,0.008150624670484573,0.028234592085407236,0.9776029102522179,0.020176151244943947,1.8472264318721223,0.2771684113166127
14140,2010-12,0.004701924401979902,1185176945191.2542,0.007993815189776377,0.02769138811001706,0.9974865489913981,0.020700688170788198,1.839121977127956,0.09449265490297465
14140,2011-01,0.03231860948262571,1224105892414.954,0.011296787918407537,0.039133221274024216,0.00012917408128998475,0.020251093984138244,1.8320957380887268,1.831977419083765
14140,2011-02,-0.0006764431252752669,1223278134396.595,0.011013024807484171,0.038150237023158076,0.9777315312799074,0.023087582692808133,1.8260579063803404,0.27345035501488035
14140,2011-03,-0.007407243249647012,1214250491941.7524,0.010992496456965047,0.03807912473096866,0.9960657517444321,0.020234219975958645,1.8207881424264558,0.11597804090384947
14140,2011-04,0.0017126356886333995,1216331842458.0422,0.010824358232042353,0.037496676834447566,0.9982471477121744,0.02033231224161559,1.816232633116486,0.07870713971596614
14140,2011-05,-0.0027927910917132453,1212939620811.9094,0.009713187930153595,0.03364746999698161,0.9981661056790293,0.020185312089380073,1.8122917909830907,0.08018693742606424
14140,2011-06,-0.0020775200011137725,1210422330255.673,0.009462715206117701,0.03277980702910092,0.9982496820292059,0.020194476539832237,1.8088858165920496,0.07832153162506142
14140,2011-07,-0.005008836667750404,1204374680991.955,0.009367204132815757,0.03244894696581211,0.9976414604231524,0.020184687887645412,1.8059426160708567,0.08999260774007947
14140,2011-08,-0.006027527143463127,1197137114139.0793,0.009422280663014936,0.03263973766303127,0.9972142347461962,0.020244574044760436,1.8034009270972364,0.09730734689711415
14140,2011-09,-0.001330714334435911,1195545126096.588,0.009586752917458823,0.033209486265295685,0.9982892137884586,0.02027848071192138,1.801206145397906,0.07720681016015978
14140,2011-10,0.00016520370415704127,1195742650895.3708,0.009656442192013526,0.033450896993838415,0.9983400740858971,0.020179161465067964,1.7993093584231303,0.07602996975921726
14140,2011-11,-0.004160584123314611,1190777998095.993,0.009510820322843686,0.03294644804164779,0.9978832159285638,0.020172847964869487,1.7976715731799222,0.08512773140478136
14140,2011-12,0.0026014599256742954,1193879792185.6187,0.009462087934654842,0.0327776340970133,0.9981455111414356,0.02022173595987073,1.7962583947990507,0.07994842449687228
14140,2012-01,0.019733240422880622,1217672894583.1406,0.006489616115715857,0.0224806896680753,0.6492272961993223,0.0201950274804766,1.7950381243189268,1.063255007388124
14140,2012-02,0.003493083764390893,1221933765458.5215,0.006422704474145362,0.02224890094243943,0.9937612386068236,0.021309792690424056,1.794001899509328,0.1432842314449534
14140,2012-03,-0.0017490745254488144,1219798380255.894,0.00640857679997471,0.022199961243526734,0.9982269561147437,0.020233368590860945,1.793090828342858,0.0781620701779758
14140,2012-04,-0.005359845133032532,1213277939729.8025,0.0064572648653755905,0.022368621649519856,0.997495202981691,0.020181886154609217,1.7923041475131245,0.09193793242322845
14140,2012-05,-0.0029184296500267726,1209742235278.6577,0.006501024645928644,0.022520209976011764,0.9981145527467706,0.020255114755764466,1.7916264068029322,0.0803843314867516
14140,2012-06,0.0083005376502922,1219825536767.5745,0.00649788449949609,0.022509332189682985,0.995313981615477,0.02019789925964219,1.79104072834888,0.12424966492100654
14140,2012-07,0.0014192041428025522,1221557947254.1448,0.006526766223138597,0.022609381415200955,0.998236970723953,0.02038137115613628,1.7905381433941059,0.07789086667410668
14140,2012-08,0.007545876283270481,1230810537945.606,0.006481570737915231,0.02245281966184176,0.996072704964339,0.020183383973381687,1.7901015037526815,0.1139764989311116
14140,2012-09,0.0024174890901213653,1233789608477.4805,0.006286939255420971,0.021778596428976737,0.9981402592112878,0.0203454519824726,1.7897272628443528,0.07981320285796194
14140,2012-10,-0.9375518701507859,483133891937.3715,0.04391645804318075,0.15213107323851185,4.534354566030313e-17,0.020194600854698787,1.7894020904542438,1.7894020904542438
14140,2012-11,0.30515648529224126,655534091019.9277,0.03397398784950578,0.11768934618214343,0.018477258456317393,0.3253720178786572,1.8275706711210076,1.811147806421169
14140,2012-12,-0.2809699680414259,494961678038.7125,0.04199910684138958,0.14548917384360074,8.834785205183509e-15,0.11678358556156895,1.8261380868716153,1.8261380868716077
14140,2013-01,0.7573596754048155,1055574045483.6273,0.03571895585494016,0.12373409266813234,2.06898138683351e-18,0.10065463359099575,1.824282165227134,1.824282165227134
14140,2013-02,-0.006917339291202166,1048297477922.4154,0.035803065694859616,0.12402545770044633,0.7952139951339725,0.26352178721139313,1.8440338463131258,0.8669425673933161
14140,2013-03,-0.009860513038770008,1038011522712.1599,0.035861895909873036,0.1242292515432932,0.9904676673860312,0.04188970318409768,1.8363505802000504,0.1840727973159421
14140,2013-04,0.0075441025081269585,1045872000890.1226,0.0358638660038114,0.12423607614888707,0.9961323079904897,0.021085278610832557,1.8296994153618875,0.1157200438954033
