gvkey,month_year,asset_return_monthly,asset_value,asset_volatility,garch_volatility,garch_omega,garch_alpha,garch_beta
14140,2010-08,-0.005416848498351114,1196418301192.7383,0.009046516640429181,0.14538400865167447,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2010-09,0.0005468165473081225,1197072701419.4631,0.008662557530090875,0.1438559666983436,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2010-10,-0.0011865266649519085,1195653185052.8914,0.008312970205784507,0.14255729550547344,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2010-11,-0.013502474549248876,1179617413283.915,0.008150624670484573,0.14143113678319297,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2010-12,0.004701924401979902,1185176945191.2542,0.007993815189776377,0.14048965000789976,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-01,0.03231860948262571,1224105892414.954,0.011296787918407537,0.13969895564851703,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-02,-0.0006764431252752669,1223278134396.595,0.011013024807484171,0.1397148279448171,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-03,-0.007407243249647012,1214250491941.7524,0.010992496456965047,0.13899291467497218,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-04,0.0017126356886333995,1216331842458.0422,0.010824358232042353,0.13836510023492926,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-05,-0.0027927910917132453,1212939620811.9094,0.009713187930153595,0.13785126071488166,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-06,-0.0020775200011137725,1210422330255.673,0.009462715206117701,0.13738845868735836,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-07,-0.005008836667750404,1204374680991.955,0.009367204132815757,0.1369946649181909,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-08,-0.006027527143463127,1197137114139.0793,0.009422280663014936,0.1366523015455594,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-09,-0.001330714334435911,1195545126096.588,0.009586752917458823,0.1363598217509404,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-10,0.00016520370415704127,1195742650895.3708,0.009656442192013526,0.1361181083439227,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-11,-0.004160584123314611,1190777998095.993,0.009510820322843686,0.13591923670265638,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2011-12,0.0026014599256742954,1193879792185.6187,0.009462087934654842,0.13573386184002856,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-01,0.019733240422880622,1217672894583.1406,0.006489616115715857,0.13560874211168084,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-02,0.003493083764390893,1221933765458.5215,0.006422704474145362,0.13580781688909582,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-03,-0.0017490745254488144,1219798380255.894,0.00640857679997471,0.13567995796859778,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-04,-0.005359845133032532,1213277939729.8025,0.0064572648653755905,0.135535663843126,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-05,-0.0029184296500267726,1209742235278.6577,0.006501024645928644,0.13540558632164218,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-06,0.0083005376502922,1219825536767.5745,0.00649788449949609,0.13529763466526346,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-07,0.0014192041428025522,1221557947254.1448,0.006526766223138597,0.13530303200466037,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-08,0.007545876283270481,1230810537945.606,0.006481570737915231,0.1352315905147548,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-09,0.0024174890901213653,1233789608477.4805,0.006286939255420971,0.135235847069733,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-10,-0.9375518701507859,483133891937.3715,0.04391645804318075,0.13518210037974535,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-11,0.30515648529224126,655534091019.9277,0.03397398784950578,0.3821255480955156,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2012-12,-0.2809699680414259,494961678038.7125,0.04199910684138958,0.3760169908430321,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-01,0.7573596754048155,1055574045483.6273,0.03571895585494016,0.366659965802437,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-02,-0.006917339291202166,1048297477922.4154,0.035803065694859616,0.45039212306723336,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-03,-0.009860513038770008,1038011522712.1599,0.035861895909873036,0.41916171618377424,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-04,0.0075441025081269585,1045872000890.1226,0.0358638660038114,0.39055740464136185,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-05,0.0011402146686369935,1047065199609.123,0.035768951327664236,0.3644172484032231,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-06,-0.011890875417183045,1034688409036.4861,0.03567039314087653,0.3405113129258772,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-07,0.01420488716513501,1049490926279.4867,0.03551310458954983,0.3187063159713316,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-08,-0.003073509907537251,1046270257433.8263,0.03537009827033288,0.29893528202513825,26.653962297080653,0.14701427933556727,0.8529857206644329
14140,2013-09,0.012366104764334845,1059288873936.0972,0.035320625506254574,0.28087523689676996,26.653962297080653,0.14701427933556727,0.8529857206644329
