gvkey,month_year,asset_return_monthly,asset_value,asset_volatility_monthly,asset_volatility,regime_0_prob,regime_1_prob,sigma2_0,sigma2_1
14140,2010-08,-0.005416848498351114,1196418301192.7383,0.009046516640429181,0.0313380529054813,0.9978041857888051,0.002195814211195928,3.633819640858536e-05,0.2579400440416646
14140,2010-09,0.0005468165473081225,1197072701419.4631,0.008662557530090875,0.030007979531211516,0.9995323281020083,0.00046767189799271704,3.633819640858536e-05,0.2579400440416646
14140,2010-10,-0.0011865266649519085,1195653185052.8914,0.008312970205784507,0.028796973516450143,0.9994797001744302,0.0005202998255707646,3.633819640858536e-05,0.2579400440416646
14140,2010-11,-0.013502474549248876,1179617413283.915,0.008150624670484573,0.028234592085407236,0.9930145907102089,0.006985409289792237,3.633819640858536e-05,0.2579400440416646
14140,2010-12,0.004701924401979902,1185176945191.2542,0.007993815189776377,0.02769138811001706,0.9856095385798231,0.014390461420178025,3.633819640858536e-05,0.2579400440416646
14140,2011-01,0.03231860948262571,1224105892414.954,0.011296787918407537,0.039133221274024216,0.001306590953459186,0.9986934090465424,3.633819640858536e-05,0.2579400440416646
14140,2011-02,-0.0006764431252752669,1223278134396.595,0.011013024807484171,0.038150237023158076,0.9901415300924055,0.009858469907596154,3.633819640858536e-05,0.2579400440416646
14140,2011-03,-0.007407243249647012,1214250491941.7524,0.010992496456965047,0.03807912473096866,0.9988543125467283,0.0011456874532732105,3.633819640858536e-05,0.2579400440416646
14140,2011-04,0.0017126356886333995,1216331842458.0422,0.010824358232042353,0.037496676834447566,0.9995258681319328,0.00047413186806873596,3.633819640858536e-05,0.2579400440416646
14140,2011-05,-0.0027927910917132453,1212939620811.9094,0.009713187930153595,0.03364746999698161,0.9994982663842106,0.000501733615790932,3.633819640858536e-05,0.2579400440416646
14140,2011-06,-0.0020775200011137725,1210422330255.673,0.009462715206117701,0.03277980702910092,0.9995201634077169,0.0004798365922845967,3.633819640858536e-05,0.2579400440416646
14140,2011-07,-0.005008836667750404,1204374680991.955,0.009367204132815757,0.03244894696581211,0.9993588805872397,0.0006411194127617676,3.633819640858536e-05,0.2579400440416646
14140,2011-08,-0.006027527143463127,1197137114139.0793,0.009422280663014936,0.03263973766303127,0.9992529683419804,0.0007470316580210581,3.633819640858536e-05,0.2579400440416646
14140,2011-09,-0.001330714334435911,1195545126096.588,0.009586752917458823,0.033209486265295685,0.9995364421609864,0.00046355783901516547,3.633819640858536e-05,0.2579400440416646
14140,2011-10,0.00016520370415704127,1195742650895.3708,0.009656442192013526,0.033450896993838415,0.9995494038724885,0.000450596127513046,3.633819640858536e-05,0.2579400440416646
14140,2011-11,-0.004160584123314611,1190777998095.993,0.009510820322843686,0.03294644804164779,0.9994174368882007,0.0005825631118006246,3.633819640858536e-05,0.2579400440416646
14140,2011-12,0.0026014599256742954,1193879792185.6187,0.009462087934654842,0.0327776340970133,0.9986393865200031,0.0013606134799982509,3.633819640858536e-05,0.2579400440416646
14140,2012-01,0.019733240422880622,1217672894583.1406,0.006489616115715857,0.0224806896680753,0.9141086923889457,0.08589130761105553,3.633819640858536e-05,0.2579400440416646
14140,2012-02,0.003493083764390893,1221933765458.5215,0.006422704474145362,0.02224890094243943,0.9985387171736927,0.0014612828263085788,3.633819640858536e-05,0.2579400440416646
14140,2012-03,-0.0017490745254488144,1219798380255.894,0.00640857679997471,0.022199961243526734,0.9995189112708325,0.0004810887291686842,3.633819640858536e-05,0.2579400440416646
14140,2012-04,-0.005359845133032532,1213277939729.8025,0.0064572648653755905,0.022368621649519856,0.9993289531859025,0.000671046814098695,3.633819640858536e-05,0.2579400440416646
14140,2012-05,-0.0029184296500267726,1209742235278.6577,0.006501024645928644,0.022520209976011764,0.9994841530116323,0.0005158469883687842,3.633819640858536e-05,0.2579400440416646
14140,2012-06,0.0083005376502922,1219825536767.5745,0.00649788449949609,0.022509332189682985,0.9988483195155723,0.0011516804844287473,3.633819640858536e-05,0.2579400440416646
14140,2012-07,0.0014192041428025522,1221557947254.1448,0.006526766223138597,0.022609381415200955,0.999525123731805,0.00047487626819613826,3.633819640858536e-05,0.2579400440416646
14140,2012-08,0.007545876283270481,1230810537945.606,0.006481570737915231,0.02245281966184176,0.9988215519728992,0.001178448027101801,3.633819640858536e-05,0.2579400440416646
14140,2012-09,0.0024174890901213653,1233789608477.4805,0.006286939255420971,0.021778596428976737,0.9894025916593447,0.010597408340656414,3.633819640858536e-05,0.2579400440416646
14140,2012-10,-0.9375518701507859,483133891937.3715,0.04391645804318075,0.15213107323851185,0.0,1.0000000000000009,3.633819640858536e-05,0.2579400440416646
14140,2012-11,0.30515648529224126,655534091019.9277,0.03397398784950578,0.11768934618214343,0.0,1.0000000000000009,3.633819640858536e-05,0.2579400440416646
14140,2012-12,-0.2809699680414259,494961678038.7125,0.04199910684138958,0.14548917384360074,0.0,1.0000000000000009,3.633819640858536e-05,0.2579400440416646
14140,2013-01,0.7573596754048155,1055574045483.6273,0.03571895585494016,0.12373409266813234,0.0,1.0000000000000009,3.633819640858536e-05,0.2579400440416646
14140,2013-02,-0.006917339291202166,1048297477922.4154,0.035803065694859616,0.12402545770044633,0.9808307336885488,0.019169266311452007,3.633819640858536e-05,0.2579400440416646
14140,2013-03,-0.009860513038770008,1038011522712.1599,0.035861895909873036,0.1242292515432932,0.9976041996276797,0.002395800372321121,3.633819640858536e-05,0.2579400440416646
14140,2013-04,0.0075441025081269585,1045872000890.1226,0.0358638660038114,0.12423607614888707,0.9989847667813369,0.0010152332186638981,3.633819640858536e-05,0.2579400440416646
