gvkey,date,asset_value,asset_volatility
14140,2020-06-30,529567090055.5217,0.15733936711846028
14140,2020-07-31,475727705213.0925,0.16685963780643698
14140,2020-08-31,455123014444.1396,0.1761594215907111
14140,2020-09-30,426598097919.27435,0.17914659533493899
14140,2020-10-30,442671918705.8602,0.17658591745679855
14140,2020-11-30,283623167956.57605,0.2660881154578089
14140,2020-12-31,221468738613.00217,0.31020208477203787
14140,2021-01-29,148904852585.57056,0.3671823498156106
14140,2021-02-26,165905208474.0682,0.3702892193821069
14140,2021-03-31,435885571987.3492,0.20124232656746058
14140,2021-04-30,387660697011.6778,0.21279829851083484
14140,2021-05-31,361433736193.66614,0.21601080607063858
14140,2021-06-30,570695866399.0194,0.1505234240751115
14140,2021-07-30,482553060826.8239,0.1614061699381507
14140,2021-08-31,765757320351.3225,0.11436785716540347
14140,2021-09-30,1441283623617.591,0.34938701666813665
14140,2021-10-29,1445028274133.6487,0.363385133801197
14140,2021-11-30,1453837130468.269,0.05508118318958598
14140,2021-12-31,584651276273.186,0.1043692429887943
14140,2022-01-31,1560658635578.739,0.08354268572961758
14140,2022-02-28,1556790851985.0798,0.08371294310300983
14140,2022-03-31,1560113735600.2073,0.08411368494318734
14140,2022-04-29,1548860975546.365,0.08421901650817244
14140,2022-05-31,1555472303631.9895,0.08430827610963262
14140,2022-06-30,1544003606878.77,0.08450713512430855
14140,2022-07-29,1533224935230.1892,0.08454834452664467
14140,2022-08-31,1532350843255.623,0.08454903441132888
14140,2022-09-30,1531699249820.0872,0.08448177443045143
14140,2022-10-31,1539955868734.563,0.08454924587000548
14140,2022-11-30,1548195183272.059,0.08431162408640956
14140,2022-12-30,1546606080962.2551,0.08427101655450771
14140,2023-01-31,659806264932.0541,0.11951984444274366
14140,2023-02-28,848408218819.6597,0.09816225463974163
14140,2023-03-31,655114961794.7935,0.11759350659018872
14140,2023-04-28,642701904145.1835,0.11692642367267539
14140,2023-05-31,575982538818.9362,0.12160071437450576
14140,2023-06-30,537098608845.3659,0.12616410101038117
14140,2023-07-31,583061625839.7592,0.11718547814820177
14140,2023-08-31,704624488506.0664,0.10271404617193508
14140,2023-09-29,722813840626.1869,0.0992419240257104
14140,2023-10-31,1660681168924.8916,0.03434078877264129
14140,2023-11-30,827067229897.7557,0.0867040347990299
14140,2023-12-29,384028812315.5565,0.13808670354025612
14140,2024-01-31,408762808440.1607,0.13227744482045045
14140,2024-02-29,401856277856.09357,0.1307985731699127
14140,2024-03-29,1142159864998.265,0.05378986955254898
14140,2024-04-30,958814590102.8284,0.0645045836101456
14140,2024-05-31,1366807273248.178,0.041209256108836724
14140,2024-06-28,1713430483337.1943,0.022158457929485884
14140,2024-07-31,1713930013457.4458,0.02224715982138714
14140,2024-08-30,1714564739799.047,0.022413654005964803
14140,2024-09-30,1716228541592.2114,0.022471649625491703
14140,2024-10-31,1714492627108.5571,0.022477032053886528
14140,2024-11-29,1712581466025.5305,0.02275408266688577
14140,2024-12-31,966193316739.3585,0.06809390298602612
14447,2010-01-29,56811684950.313484,0.1556854177089287
14447,2010-02-26,57071599946.70986,0.185165296973026
14447,2010-03-31,60404052385.69331,0.1679603043028221
