gvkey,month_year,asset_value,liabilities_total,risk_free_rate,log_asset_debt_ratio,merton_pd_garch,d2_garch,volatility_garch,merton_pd_regime,d2_regime,volatility_regime,merton_pd_msgarch,d2_msgarch,volatility_msgarch
132740,2017-01,23580424199.348568,4309.0,-0.000945,15.51522158407224,0.0,70.47084498848947,0.2198088955980355,0.0,87.96363544958501,0.1761950169846039,0.0,63.272352389592264,0.2447250784468835
132740,2017-02,23365448198.48397,4309.0,-0.001059,15.506063057772081,0.0,71.80724812379141,0.2156016617265825,0.0,87.0998065514178,0.17783267771091316,0.0,75.48800691561988,0.2051182425357911
132740,2017-03,26047161933.480618,4309.0,-0.001096,15.614713514703466,0.0,73.59401023573228,0.21185387821516,0.0,86.07796718818255,0.18119852931809535,0.0,64.1056442775882,0.2430997915393937
132740,2017-04,25882963195.198032,4309.0,-0.0011899999999999999,15.608389659904995,0.0,67.11573586364526,0.2321401224495691,0.0,87.09904865398916,0.17900514964340528,0.0,70.86631381890138,0.2198932370305231
132740,2017-05,26670150247.80504,4309.0,-0.0012720000000000001,15.638349671097117,0.0,69.35804945891684,0.2250891602037321,0.0,87.43627822889673,0.17865717519538832,0.0,60.314128757215414,0.2587057734894671
132740,2017-06,25306012700.52935,4309.0,-0.0014910000000000001,15.585846722975704,0.0,70.93677218881169,0.2193544624705526,0.0,86.13284403048361,0.18074431008746755,0.0,75.43856953081159,0.2063013085324759
132740,2017-07,25192830066.69928,4309.0,-0.0015409999999999998,15.581364132201399,0.0,69.2994991298894,0.2244552018223752,0.0,86.48097799734853,0.17996592574916528,0.0,57.91603578215308,0.2683852168053845
132740,2017-08,26316551667.540005,4309.0,-0.001563,15.625002781533414,0.0,71.3548613816711,0.2186191985030386,0.0,86.15610109019796,0.18114831368029988,0.0,74.1546471464944,0.2103888111662195
132740,2017-09,28475125432.84255,4309.0,-0.001683,15.703835613670536,0.0,72.6187342523143,0.2159063360457637,0.0,84.96415020906318,0.1846085956052054,0.0,64.07753334714756,0.2445824846730585
132740,2017-10,31023157387.39749,4309.0,-0.001798,15.78953863743745,0.0,70.7265417184351,0.2228711383631973,0.0,84.24200685640453,0.18720136248961558,0.0,69.00461729221662,0.2284144839533145
132740,2017-11,30677013263.74028,4309.0,-0.00189,15.778318319843631,0.0,68.27128235054822,0.2306946313459898,0.0,83.81256632509466,0.18802373615478277,0.0,57.13813990553715,0.2754463655226311
132740,2017-12,30263673984.573025,4309.0,-0.001897,15.764752814219358,0.0,70.13002061512113,0.2244071283105793,0.0,82.4760633061858,0.19089944263185896,0.0,71.2287825979709,0.2209562540182011
132740,2018-01,31042926134.00118,4433.0,-0.001887,15.761804962854224,0.0,71.67183957998013,0.2195536789080635,0.0,80.31503828575534,0.195987113056061,0.0,67.4725032919246,0.233172514498634
132740,2018-02,29895422029.723328,4433.0,-0.001912,15.72413936150176,0.0,73.20984752801445,0.2144415716978263,0.0,76.23314027936831,0.20596052366868234,0.0,72.91113948555368,0.2153175310751816
132740,2018-03,29147860271.824203,4433.0,-0.00191,15.698815508249591,0.0,72.4816205347963,0.2162413757626917,0.0,72.87604008582235,0.21507448774866497,0.0,65.20022788693566,0.2403063982063104
